Source,Target,Weight
Oscar Peterson,Ray Brown,98
Duke Ellington,Russell Procope,70
Duke Ellington,Jimmy Hamilton,61
Duke Ellington,Johnny Hodges,61
Duke Ellington,Paul Gonsalves,61
Duke Ellington,Sam Woodyard,47
Duke Ellington,Ray Nance,42
Oscar Peterson,Herb Ellis,42
Cannonball Adderley,Nat Adderley,40
Russell Procope,Duke Ellington,38
Charles Mingus,Dannie Richmond,36
Russell Procope,Paul Gonsalves,36
Russell Procope,Jimmy Hamilton,35
John Coltrane,McCoy Tyner,34
Oscar Peterson,Ed Thigpen,34
Russell Procope,Johnny Hodges,33
John Coltrane,Elvin Jones,32
Duke Ellington,Cootie Williams,31
Ernie Royal,Jimmy Cleveland,31
John Coltrane,Jimmy Garrison,31
Russell Procope,Sam Woodyard,28
Ernie Royal,Jerome Richardson,26
George Duvivier,Hank Jones,26
Rahsaan Roland Kirk,Roland Kirk,26
Duke Ellington,Quentin Jackson,25
Joe Zawinul,Wayne Shorter,25
John Coltrane,Paul Chambers,25
Art Blakey,Horace Silver,24
George Duvivier,Clark Terry,24
Horace Silver,Art Blakey,24
Cannonball Adderley,Joe Zawinul,23
Cedar Walton,Billy Higgins,23
Oscar Peterson,Joe Pass,23
Sun Ra,Marshall Allen,23
Duke Ellington,Clark Terry,22
Duke Ellington,Mercer Ellington,22
Duke Ellington,Willie Cook,22
Keith Jarrett,Jack DeJohnette,22
Russell Procope,Ray Nance,22
Keith Jarrett,Gary Peacock,21
Ernie Royal,Clark Terry,20
George Duvivier,Jerome Richardson,20
George Duvivier,Oliver Nelson,19
Keith Jarrett,Charlie Haden,19
Russell Procope,Cootie Williams,19
Keith Jarrett,Paul Motian,18
Mal Waldron,Art Taylor,18
Red Garland,Art Taylor,18
Cannonball Adderley,Louis Hayes,17
George Duvivier,"Eddie ""Lockjaw"" Davis",17
Gerry Mulligan,Bob Brookmeyer,17
Evan Parker,Paul Lytton,16
Mal Waldron,Jackie McLean,16
Oscar Peterson,Roy Eldridge,16
Anthony Braxton,Dave Holland,15
Art Pepper,George Cables,15
Cecil Taylor,Jimmy Lyons,15
Duke Ellington,Billy Strayhorn,15
Duke Ellington,Jimmy Woode,15
Horace Silver,Hank Mobley,15
John Coltrane,Art Taylor,15
Ornette Coleman,Charlie Haden,15
Oscar Peterson,Clark Terry,15
Quentin Jackson,Clark Terry,15
Russell Procope,Willie Cook,15
Wendell Marshall,Hank Jones,15
Count Basie,Freddie Green,14
Ernie Royal,Oliver Nelson,14
Ernie Royal,Phil Woods,14
George Duvivier,Ernie Royal,14
George Duvivier,Phil Woods,14
Jimmy Smith,Kenny Burrell,14
Lee Morgan,Billy Higgins,14
McCoy Tyner,Ron Carter,14
Russell Procope,Quentin Jackson,14
Stanley Turrentine,Ron Carter,14
Art Blakey,Lou Donaldson,13
Bud Powell,Art Taylor,13
Charles Mingus,Jimmy Knepper,13
Count Basie,Louie Bellson,13
"Eddie ""Lockjaw"" Davis",George Duvivier,13
Ernie Royal,Frank Wess,13
George Duvivier,Kenny Burrell,13
Horace Silver,Leonard Feather,13
John Coltrane,Red Garland,13
Keith Jarrett,Dewey Redman,13
Oscar Peterson,Ella Fitzgerald,13
Oscar Peterson,Louie Bellson,13
Quentin Jackson,Jerome Richardson,13
Bobby Hutcherson,Joe Chambers,12
Count Basie,"Eddie ""Lockjaw"" Davis",12
Ella Fitzgerald,Tommy Flanagan,12
Ernie Royal,Hank Jones,12
Herbie Hancock,Bennie Maupin,12
Mal Waldron,Doug Watkins,12
Milt Jackson,Ray Brown,12
Oliver Nelson,Phil Woods,12
Oscar Peterson,Buddy Rich,12
Red Garland,Paul Chambers,12
Russell Procope,Mercer Ellington,12
Wendell Marshall,Kenny Clarke,12
Art Blakey,Hank Mobley,11
Art Blakey,Milt Jackson,11
Bud Powell,Max Roach,11
Clifford Jordan,Cedar Walton,11
Coleman Hawkins,Tommy Flanagan,11
Ernie Royal,Ron Carter,11
Herbie Hancock,Ron Carter,11
Jackie McLean,Art Taylor,11
Johnny Hodges,Jimmy Hamilton,11
Oscar Peterson,Dizzy Gillespie,11
Quentin Jackson,Ernie Royal,11
Russell Procope,Clark Terry,11
Sam Woodyard,Johnny Hodges,11
Wayne Shorter,Herbie Hancock,11
Wendell Marshall,Tommy Flanagan,11
Art Blakey,Jimmy Smith,10
Art Farmer,Jimmy Cleveland,10
Bill Evans,Paul Motian,10
Dizzy Gillespie,Ray Brown,10
Ernie Royal,J. J. Johnson,10
George Duvivier,Jimmy Cleveland,10
Herbie Hancock,Wayne Shorter,10
Horace Silver,Doug Watkins,10
Horace Silver,Junior Cook,10
